department,groups,research_links,research_staff,teaching_links
Accounting,4,20,28,5
Anthropology,5,16,28,5
Economic History,2,17,26,3
Economics,11,44,71,15
Finance,1,20,27,7
Geography and Environment,3,33,40,5
Government,4,75,62,14
International History,1,21,37,5
International Relations,3,41,40,9
Law,3,66,70,5
Management,4,45,72,3
Mathematics,1,9,27,4
Media and Communications,4,11,20,2
Methodology,3,15,15,0
"Philosophy, Logic, Scientific  Method",3,18,20,4
Social Policy,7,43,52,6
Social Psychology,2,3,17,0
Sociology,1,41,37,3
Statistics,3,13,21,4
International Development,2,27,33,6
European Institute,10,42,32,2
Gender Institute,0,24,13,2